function_name,start_time_ms,duration_ns,buffer_size
device::list_devices,441867,8108625,5
usb_device::open,441859,49042,0
usb_transfers::new_transfer,441858,31083,0
transfers::await_transfer,441858,3867708,42
usb_transfers::new_transfer,441854,19625,0
transfers::await_transfer,441854,3866167,42
usb_transfers::new_transfer,441850,18250,0
transfers::await_transfer,441850,3903000,50
usb_transfers::new_transfer,441846,22875,0
transfers::await_transfer,441846,3840500,50
usb_transfers::new_transfer,428090,49041,0
transfers::await_transfer,428090,7677542,97920
usb_transfers::new_transfer,428082,22250,0
transfers::await_transfer,428082,7569291,97920
usb_transfers::new_transfer,428074,43000,0
transfers::await_transfer,428074,7190000,97920
usb_transfers::new_transfer,428066,23459,0
transfers::await_transfer,428066,7505834,97920
usb_transfers::new_transfer,428058,25375,0
transfers::await_transfer,428058,7381625,97920
usb_transfers::new_transfer,428050,25375,0
transfers::await_transfer,428050,7517750,97920
usb_transfers::new_transfer,428042,22208,0
transfers::await_transfer,428042,7410125,97920
usb_transfers::new_transfer,428034,20000,0
transfers::await_transfer,428034,7477625,97920
usb_transfers::new_transfer,428026,22833,0
transfers::await_transfer,428026,8017416,97920
usb_transfers::new_transfer,428017,24708,0
transfers::await_transfer,428017,7222875,97920
